[Feb 27, 2015 14:40:42 0-error] Error: You must provide a new profile title. Error Code: 
[Apr 4, 2016 05:40:59 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 4, 2016 05:40:59 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 5, 2016 04:28:38 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 5, 2016 04:28:38 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 5, 2016 04:28:38 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 5, 2016 04:28:38 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 6, 2016 04:22:12 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 6, 2016 04:22:12 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 6, 2016 04:22:12 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 6, 2016 04:22:12 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 7, 2016 06:14:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 7, 2016 06:14:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/pb_backupbuddy/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 7, 2016 06:14:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_temp/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
[Apr 7, 2016 06:14:39 0-error] Error #9002d: BackupBuddy directory `/var/www/html/barkarby/barkerby/wp-content/uploads/backupbuddy_backups/` is indicated as NOT being writable. Please verify write permissions for it and parent directories as applicable. <a href="http://ithemes.com/codex/page/BackupBuddy:_Error_Codes#9002" target="_new"><i>BackupBuddy Error Code 9002 - Click for more details.</i></a> Error Code: 9002
